Hour,PV,WindOnshore,WindOffshore
711,0.0721,0.6053,0.8393
712,0.0354,0.5822,0.8471
713,0.0075,0.5519,0.858
714,0.0002,0.5425,0.85
715,0,0.554,0.8354
716,0,0.5491,0.8353
717,0,0.5576,0.8359
718,0,0.5519,0.8096
719,0,0.5225,0.8423
720,0,0.5315,0.8402
721,0,0.5264,0.8116
722,0,0.5318,0.7924
723,0,0.5348,0.8371
724,0,0.5296,0.8556
725,0,0.5324,0.8591
726,0,0.5376,0.8587
727,0,0.5433,0.8569
728,0.0001,0.5217,0.8596
729,0.0124,0.4987,0.8576
730,0.0473,0.4886,0.8436
731,0.0818,0.4889,0.8498
732,0.0972,0.4901,0.8597
733,0.0988,0.4859,0.8615
734,0.0828,0.4672,0.8575
735,0.0572,0.4261,0.8541
736,0.0271,0.3744,0.8548
737,0.006,0.3442,0.8602
738,0.0002,0.331,0.817
739,0,0.3379,0.7203
740,0,0.3508,0.6226
741,0,0.3507,0.4588
742,0,0.3452,0.3738
743,0,0.3444,0.3316
744,0,0.33,0.2943
745,0,0.323,0.2318
746,0,0.3191,0.1788
747,0,0.3074,0.1484
748,0,0.2906,0.1465
749,0,0.2801,0.12
750,0,0.2822,0.1331
751,0,0.2774,0.2124
752,0,0.2822,0.3638
753,0.0046,0.3215,0.6348
754,0.0242,0.3694,0.7587
755,0.046,0.4301,0.803
756,0.0597,0.4855,0.8158
757,0.068,0.5537,0.8204
758,0.0703,0.6083,0.8368
759,0.0577,0.6596,0.8422
760,0.0369,0.6937,0.8379
761,0.0105,0.7096,0.8276
762,0.0003,0.7107,0.8061
763,0,0.718,0.8125
764,0,0.7312,0.8586
765,0,0.7262,0.858
766,0,0.7228,0.8445
767,0,0.7035,0.8604
768,0,0.701,0.843
769,0,0.6909,0.8406
770,0,0.6811,0.8081
771,0,0.6728,0.7979
772,0,0.6671,0.8069
773,0,0.6621,0.6905
774,0,0.6669,0.6778
775,0,0.6802,0.7163
776,0.0001,0.667,0.7111
777,0.0112,0.658,0.6766
778,0.0445,0.6524,0.6857
779,0.081,0.6496,0.7002
780,0.1148,0.654,0.6624
781,0.1274,0.6466,0.5988
782,0.1122,0.6427,0.5543
783,0.0893,0.6354,0.522
784,0.0539,0.6238,0.5333
785,0.0146,0.6232,0.5318
786,0.0004,0.6456,0.4984
787,0,0.6519,0.4692
788,0,0.6785,0.4281
789,0,0.6825,0.3629
790,0,0.6714,0.429
791,0,0.6494,0.536
792,0,0.6398,0.6349
793,0,0.6187,0.7006
794,0,0.6109,0.7826
795,0,0.587,0.8189
796,0,0.567,0.8191
797,0,0.5311,0.8173
798,0,0.5044,0.821
799,0,0.4833,0.8286
800,0.0002,0.4642,0.8347
801,0.0131,0.443,0.8336
802,0.0504,0.4302,0.8361
803,0.0944,0.4428,0.8374
804,0.1342,0.4635,0.839
805,0.148,0.4963,0.8372
806,0.1384,0.4962,0.8063
807,0.1158,0.4776,0.7184
808,0.0735,0.4521,0.7041
809,0.0208,0.4268,0.7468
810,0.0008,0.4205,0.7503
811,0,0.4426,0.7611
812,0,0.4629,0.7339
813,0,0.4728,0.7707
814,0,0.4716,0.7647
815,0,0.4582,0.765
816,0,0.4437,0.7483
817,0,0.4301,0.7627
818,0,0.4158,0.7673
819,0,0.4091,0.7617
820,0,0.419,0.757
821,0,0.4187,0.7307
822,0,0.4185,0.7453
823,0,0.422,0.7499
824,0.0002,0.4302,0.641
825,0.0078,0.4202,0.5597
826,0.032,0.4161,0.4222
827,0.0566,0.398,0.3605
828,0.0725,0.3864,0.271
829,0.0784,0.3729,0.2717
830,0.0664,0.3522,0.2696
831,0.0436,0.3225,0.2968
832,0.0241,0.3006,0.322
833,0.0069,0.2832,0.3631
834,0.0003,0.2531,0.3378
835,0,0.2399,0.3996
836,0,0.239,0.4342
837,0,0.2438,0.3501
838,0,0.232,0.275
839,0,0.2072,0.305
840,0,0.1942,0.2756
841,0,0.1777,0.26
842,0,0.1694,0.2674
843,0,0.1569,0.2766
844,0,0.1488,0.2485
845,0,0.1416,0.2834
846,0,0.1462,0.3669
847,0,0.1598,0.5125
848,0.0003,0.1806,0.5666
849,0.0126,0.204,0.6139
850,0.0426,0.217,0.64
851,0.0682,0.2214,0.6395
852,0.094,0.244,0.6685
853,0.1106,0.262,0.6834
854,0.111,0.2671,0.7069
855,0.0807,0.2592,0.7013
856,0.0454,0.2512,0.6895
857,0.014,0.2501,0.6529
858,0.0004,0.258,0.673
859,0,0.2659,0.7403
860,0,0.2682,0.7634
861,0,0.2746,0.777
862,0,0.2629,0.7704
863,0,0.2588,0.7784
864,0,0.2564,0.7864
865,0,0.2626,0.807
866,0,0.2631,0.8086
867,0,0.272,0.7766
868,0,0.284,0.776
869,0,0.2951,0.7933
870,0,0.312,0.7997
871,0,0.3224,0.7897
872,0.001,0.3331,0.8152
873,0.0368,0.348,0.8181
874,0.109,0.3471,0.8137
875,0.1864,0.3303,0.8116
876,0.2424,0.3254,0.8086
877,0.2686,0.3298,0.7982
878,0.2717,0.3241,0.8019
879,0.2328,0.3262,0.8008
880,0.1467,0.3163,0.8258
881,0.044,0.3094,0.8356
882,0.0015,0.3432,0.8394
883,0,0.3868,0.8439
884,0,0.4155,0.8474
885,0,0.442,0.8417
886,0,0.4512,0.8408
887,0,0.4456,0.8396
888,0,0.4534,0.8172
889,0,0.4625,0.8354
890,0,0.464,0.8454
891,0,0.4654,0.8451
892,0,0.4683,0.8422
893,0,0.4719,0.8433
894,0,0.4792,0.8418
895,0,0.4886,0.8454
896,0.0009,0.5003,0.8473
897,0.0316,0.4897,0.8404
898,0.0889,0.4576,0.7919
899,0.1409,0.407,0.7956
900,0.168,0.379,0.8019
901,0.1785,0.3697,0.828
902,0.162,0.3801,0.8477
903,0.1144,0.3988,0.8499
904,0.0657,0.4088,0.8572
905,0.022,0.4142,0.8574
906,0.0014,0.4227,0.8576
907,0,0.441,0.861
908,0,0.473,0.858
909,0,0.4879,0.8206
910,0,0.5016,0.8364
911,0,0.4926,0.8452
912,0,0.5106,0.8312
913,0,0.5407,0.8404
914,0,0.5698,0.824
915,0,0.5992,0.76
916,0,0.638,0.7509
917,0,0.6635,0.787
918,0,0.6864,0.7551
919,0,0.7198,0.7552
920,0.0008,0.7294,0.8422
921,0.0281,0.7218,0.8502
922,0.067,0.7086,0.8423
923,0.0968,0.701,0.8391
924,0.1307,0.6888,0.8488
925,0.1571,0.6953,0.8454
926,0.1535,0.6886,0.8499
927,0.1131,0.6985,0.8512
928,0.0588,0.681,0.8532
929,0.0189,0.6769,0.851
930,0.0012,0.685,0.8494
931,0,0.6957,0.8454
932,0,0.7158,0.8492
